This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'Favorites'

Favorites
Symbol,Last,%Change,Net Chng,P/L Open
AGRX,1.1128,+12.40%,+.1228,$0.00
DFFN,2.4600,+7.89%,+.18,-
ADMA,3.63,+4.31%,+.15,-
ADVM,3.67,+3.38%,+.12,$30.00
ATHM,80.235,+2.79%,+2.175,$410.50
DRNA,11.01,+1.66%,+.18,-
AVXL,2.520,+1.61%,+.04,$0.00
ATRA,39.64,+0.94%,+.37,$213.00
BABA,170.16,+0.86%,+1.45,-
AGEN,3.60,+0.84%,+.03,$12.00
ASND,70.78,+0.83%,+.58,-
DERM,7.44,+0.27%,+.02,$32.00
BLUE,135.57,+0.23%,+.31,-
ULTA,303.06,+0.19%,+.56,-
AYX,70.66,+0.14%,+.10,$0.00
BLCM,3.29,0.00%,0,($28.00)
FLXN,14.20,-0.49%,-.07,$24.00
AKTX,1.86,-0.50%,-.0093,-
ANET,237.15,-0.55%,-1.30,"$1,690.00"
ACAD,22.26,-0.58%,-.13,-
THO,66.25,-0.78%,-.52,-
ABEO,6.62,-0.90%,-.06,($65.00)
AKBA,6.5784,-0.93%,-.0616,$47.84
AERI,41.29,-1.08%,-.45,-
ALGN,251.37,-1.16%,-2.95,-
ADXS,.3938,-1.55%,-.0062,$0.00
ARAV,4.76,-1.65%,-.08,$2.00
NTES,240.29,-1.68%,-4.11,($998.00)
HRTX,26.82,-3.87%,-1.08,-
CRBP,8.2335,-3.93%,-.3365,$28.35
