This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Quote on 3/7/19 22:17:30

Current account positions
Symbol,Description,P/L %,P/L Open,Last,%Change,Net Chng,Net Liq,Pos Qty,Avg Price
AGEN,AGENUS INC COM,-7.64%,($398.00),2.83,+6.79%,+.18,"$4,811.00","+1,700",$3.06
AGRX,AGILE THERAPEUTICS COM,2.33%,$100.00,1.1000,-1.79%,-.02,"$4,400.00","+4,000",$1.08
AMBA,AMBARELLA INC COM,-1.73%,($74.00),42.13,+0.17%,+.07,"$4,213.00",+100,$42.87
ATRA,ATARA BIOTHERAPEUTICS INC COM,-4.94%,($573.00),36.79,+0.46%,+.17,"$11,037.00",+300,$38.70
BLCM,BELLICUM PHARMACEUTICALS COM,-4.43%,($178.06),3.08,-1.60%,-.05,"$3,837.78","+1,242",$3.23
CETX,CEMTREX INC COM,-3.71%,($374.92),.5500,-2.15%,-.0121,"$9,730.60","+17,692",$0.57
CNXM,CNX MIDSTREAM PARTNERS LP COM UNIT REPST,-2.80%,($111.76),15.29,+0.33%,+.05,"$3,883.66",+254,$15.73
CPRI,CAPRI HOLDINGS LTD COM,-6.00%,($356.75),44.70,-2.83%,-1.30,"$5,587.50",+125,$47.55
CRBP,CORBUS PHARMAS HLDGS INC COM,-3.04%,($370.00),5.90,+1.20%,+.07,"$11,800.00","+2,000",$6.09
FB,FACEBOOK INC COM CL A,0.33%,$27.16,169.13,-1.96%,-3.38,"$8,270.22",+49,$168.23
FIVE,FIVE BELOW INC COM,-7.19%,($459.71),116.30,+1.24%,+1.43,"$5,931.30",+51,$125.31
FLXN,FLEXION THERAPEUTICS INC COM,-9.15%,($392.00),12.98,-0.38%,-.05,"$3,894.00",+300,$14.29
GILD,GILEAD SCIENCES INC COM,-5.33%,($422.40),62.53,-0.62%,-.39,"$7,503.60",+120,$66.05
HRTX,HERON THERAPEUTICS INC COM,-7.55%,($420.00),25.72,+0.19%,+.05,"$5,144.00",+200,$27.82
MOSY,MOSYS INC COM,-4.22%,($182.50),.1656,-2.59%,-.0044,"$4,140.00","+25,000",$0.17
MTBC,MTBC INC COM,0.22%,$1.00,4.46,0.00%,0,$446.00,+100,$4.45
NBEV,NEW AGE BEVERAGES CORPORATION COM,-13.23%,"($1,106.00)",5.20,-5.11%,-.28,"$7,252.00","+1,400",$5.97
NTES,NETEASE INC ADR SPONSORED,-4.70%,"($4,430.00)",224.44,-3.17%,-7.35,"$89,776.00",+400,$235.52
