This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Quote on 3/1/19 05:59:03

Watch for Buy
Symbol,Description,Last,P/L %,P/L Open,%Change,Net Chng,Net Liq,Pos Qty,Avg Price
ALGN,ALIGN TECHNOLOGY INC COM,258.97,-,-,0.00%,0,-,-,-
FB,FACEBOOK INC COM CL A,161.45,-,-,0.00%,0,-,-,-
CNXM,CNX MIDSTREAM PARTNERS LP COM UNIT REPST,15.51,-,-,0.00%,0,-,-,-
ECR,ECLIPSE RESOURCES CORP 1:15 R/S 3/1/19 61179L100,1.17,-,-,0.00%,0,-,-,-
NBEV,NEW AGE BEVERAGES CORPORATION COM,5.87,-,-,0.00%,0,-,-,-
AMBA,AMBARELLA INC COM,40.37,-,-,0.00%,0,-,-,-
GILD,GILEAD SCIENCES INC COM,65.02,-,-,0.00%,0,-,-,-
NVDA,NVIDIA CORP COM,154.26,-,-,0.00%,0,-,-,-
MMI,MARCUS & MILLICHAP INC COM,38.62,-,-,0.00%,0,-,-,-
LGND,LIGAND PHARMACEUTICAL INC COM,124.08,-,-,0.00%,0,-,-,-
SSKN,STRATA SKIN SCIENCES INC COM,3.24,-,-,0.00%,0,-,-,-
WETF,WISDOMTREE INVESTMENTS INC COM,7.78,-,-,0.00%,0,-,-,-
OXFD,OXFORD IMMUNOTEC GLOBAL PLC COM,16.69,-,-,0.00%,0,-,-,-
UBNT,UBIQUITI NETWORKS INC COM,144.39,-,-,0.00%,0,-,-,-
PAYC,PAYCOM SOFTWARE INC COM,181.73,-,-,0.00%,0,-,-,-
MU,MICRON TECHNOLOGY INC COM,40.88,-,-,0.00%,0,-,-,-
MTBC,MTBC INC COM,4.42,-,-,0.00%,0,-,-,-
PACB,PACIFIC BIOSCIENCE COM,7.31,-,-,0.00%,0,-,-,-
ATHM,AUTOHOME INC ADR,94.05,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
ANET,ARISTA NETWORKS INC COM,285.25,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
DERM,DERMIRA INC COM,8.35,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
CRBP,CORBUS PHARMAS HLDGS INC COM,6.94,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
ARAV,ARAVIVE INC COM,5.83,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
AVXL,ANAVEX LIFE SCIENC COM,2.14,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
AKBA,AKEBIA THERAPEUTICS INC COM,7.28,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
ADMA,ADMA BIOLOGICS INC COM,4.09,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
ADVM,ADVERUM BIOTECHNOLOGIES INC COM,4.05,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
GNMK,GENMARK DIAGNOSTICS INC COM,7.69,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
THO,THOR INDUSTRIES COM,64.57,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
DRNA,DICERNA PHARMACEUTICALS INC. COM,12.21,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
BABA,ALIBABA GROUP HOLDING LTD ADR,183.03,0.00%,$0.00,0.00%,0,$0.00,0,$0.00
