This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Quote on 3/7/19 22:17:50

Watch for Buy
Symbol,Description,P/L %,P/L Open,Last,%Change,Net Chng,Net Liq,Pos Qty,Avg Price
ALGN,ALIGN TECHNOLOGY INC COM,-,-,230.75,-0.30%,-.70,-,-,-
ATHM,AUTOHOME INC ADR,0.00%,$0.00,84.64,-3.28%,-2.87,$0.00,0,$0.00
ANET,ARISTA NETWORKS INC COM,0.00%,$0.00,276.23,+0.41%,+1.13,$0.00,0,$0.00
DERM,DERMIRA INC COM,0.00%,$0.00,8.14,-6.65%,-.58,$0.00,0,$0.00
AKBA,AKEBIA THERAPEUTICS INC COM,0.00%,$0.00,7.19,0.00%,0,$0.00,0,$0.00
ADMA,ADMA BIOLOGICS INC COM,0.00%,$0.00,3.95,-5.28%,-.22,$0.00,0,$0.00
ADVM,ADVERUM BIOTECHNOLOGIES INC COM,0.00%,$0.00,4.78,+7.42%,+.33,$0.00,0,$0.00
GNMK,GENMARK DIAGNOSTICS INC COM,0.00%,$0.00,7.03,-1.54%,-.11,$0.00,0,$0.00
PACB,PACIFIC BIOSCIENCE COM,-,-,7.31,+0.14%,+.01,-,-,-
MMI,MARCUS & MILLICHAP INC COM,-,-,38.25,-0.23%,-.09,-,-,-
LGND,LIGAND PHARMACEUTICAL INC COM,-,-,106.40,-0.11%,-.12,-,-,-
OXFD,OXFORD IMMUNOTEC GLOBAL PLC COM,-,-,15.87,-0.31%,-.05,-,-,-
UBNT,UBIQUITI NETWORKS INC COM,-,-,139.58,-1.27%,-1.79,-,-,-
THO,THOR INDUSTRIES COM,0.00%,$0.00,63.31,+2.49%,+1.54,$0.00,0,$0.00
BABA,ALIBABA GROUP HOLDING LTD ADR,0.00%,$0.00,177.32,-3.72%,-6.85,$0.00,0,$0.00
ABEO,ABEONA THERAPEUTICS INC COM,0.00%,$0.00,7.24,+2.70%,+.19,$0.00,0,$0.00
BLUE,BLUEBIRD BIO INC COM,0.00%,$0.00,139.90,-3.18%,-4.60,$0.00,0,$0.00
AYX,ALTERYX INC COM CL A,0.00%,$0.00,71.79,+6.20%,+4.19,$0.00,0,$0.00
ADXS,ADVAXIS INC COM,0.00%,$0.00,.3300,-3.79%,-.013,$0.00,0,$0.00
EVR,EVERCORE INC COM,-,-,88.60,-0.59%,-.53,-,-,-
ACAD,ACADIA PHARMACEUTICALS INC COM,0.00%,$0.00,25.39,-1.01%,-.26,$0.00,0,$0.00
AERI,AERIE PHARMACEUTICALS INC COM,0.00%,$0.00,46.55,+0.22%,+.10,$0.00,0,$0.00
FND,FLOOR & DECOR HOLDINGS INC COM CL A,0.00%,$0.00,38.32,-0.98%,-.38,$0.00,0,$0.00
ULTA,ULTA BEAUTY INC COM,0.00%,$0.00,305.45,-2.26%,-7.06,$0.00,0,$0.00
