Symbol,Buy Side,Buy Date,Buy Qty,Buy Avg Price,# of Buy Trades,Sell Side,Sell Date,Sell Qty,Sell Avg Price,# of Sell Trades,Dollar GainLoss,Days,WinOrLoss,% Gain / Loss
LENS,BUY,2019-02-28,4500,0.706666666666667,3,SELL,2019-03-06,-4500,0.8,3,413.05,6,WIN,13.2
ULTA,BUY,2019-02-13,100,304.18,1,SELL,2019-03-06,-100,310.83,1,658.05,21,WIN,2.2
ACAD,BUY,2019-02-13,300,23.38,3,SELL,2019-03-05,-300,26.97,1,1070.05,20,WIN,15.4
FND,BUY,2019-02-20,10,36.35,1,SELL,2019-03-05,-10,38.33,1,12.85,13,WIN,5.4
REGN,BUY,2019-02-27,9,425.81,1,SELL,2019-03-05,-9,433.09,1,58.57,6,WIN,1.7
AGRX,BUY,2019-02-13,6100,1.04,3,SELL,2019-03-04,-2100,1.09,1,298.05,19,WIN,4.8
ASND,BUY,2019-02-13,200,71.335,2,SELL,2019-03-04,-200,113.91,1,8508.05,19,WIN,59.7
AYX,BUY,2019-02-13,200,71.135,2,SELL,2019-03-04,-200,73.96,1,558.05,19,WIN,4.0
BLUE,BUY,2019-02-27,26,154.61,1,SELL,2019-03-04,-26,157.88,1,78.07,5,WIN,2.1
ABEO,BUY,2019-02-05,700,6.95,4,SELL,2019-03-01,-700,7.05,1,63.05,24,WIN,1.4
BABA,BUY,2019-02-19,100,170.72,1,SELL,2019-02-28,-100,182.33,1,1154.05,9,WIN,6.8
DRNA,BUY,2019-02-14,100,10.91,1,SELL,2019-02-28,-100,12.03,1,105.05,14,WIN,10.3
AERI,BUY,2019-02-13,200,43.325,2,SELL,2019-02-26,-200,46.835,2,695.05,13,WIN,8.1
THO,BUY,2019-02-13,200,67.465,2,SELL,2019-02-26,-200,68.01,1,102.05,13,WIN,0.8
GNMK,BUY,2019-02-20,700,6.44,1,SELL,2019-02-25,-700,7.57,1,784.05,5,WIN,17.5
ATHM,BUY,2019-02-05,100,76.13,1,SELL,2019-02-20,-100,80.31,1,411.05,15,WIN,5.5
ATRA,BUY,2019-02-07,400,38.61,3,SELL,2019-02-20,-100,39.33,1,281.05,13,WIN,1.9
ADMA,BUY,2019-02-13,100,3.63,1,SELL,2019-02-19,-100,3.96,1,26.05,6,WIN,9.1
ADVM,BUY,2019-02-05,100,3.37,1,SELL,2019-02-19,-100,3.63,1,19.05,14,WIN,7.7
AKBA,BUY,2019-02-07,100,6.1,1,SELL,2019-02-19,-100,6.56,1,39.05,12,WIN,7.5
ARAV,BUY,2019-02-07,100,4.74,1,SELL,2019-02-19,-100,5.19,1,38.05,12,WIN,9.5
DERM,BUY,2019-02-07,100,7.12,1,SELL,2019-02-19,-100,7.55,1,36.05,12,WIN,6.0
CRBP,BUY,2019-02-06,2100,6.70666666666667,3,SELL,2019-02-15,-100,8.92,1,4641.05,9,WIN,33.0
ANET,BUY,2019-02-04,100,220.25,1,SELL,2019-02-14,-100,240.47,1,2015.05,10,WIN,9.2
ADXS,BUY,2019-02-07,100,0.43,1,SELL,2019-02-11,-100,0.38,1,-11.95,4,LOSS,-11.6
AVXL,BUY,2019-02-07,1700,2.33,2,SELL,2019-02-08,-1700,2.54,2,350.05,1,WIN,9.0
